sender,subject,body,label
alerts@bank-secure.com,Verify your account now,Urgent action required to verify your password using the secure link below,phishing
alerts@bank-secure.com,Verify your account now,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
alerts@bank-secure.com,Verify your account now,We detected unusual activity and need you to confirm your identity immediately,phishing
alerts@bank-secure.com,Verify your account now,Click the secure portal to avoid permanent account closure and restore service,phishing
alerts@bank-secure.com,Verify your account now,You have won a prize and must verify card details now to receive it,phishing
alerts@bank-secure.com,Verify your account now,Open the attached document and sign in to review the protected file,phishing
alerts@bank-secure.com,Verify your account now,Your payroll record is pending and requires employee credentials for release,phishing
alerts@bank-secure.com,Verify your account now,Update your banking profile now to remove the temporary suspension on your account,phishing
alerts@bank-secure.com,Verify your account now,Validate your mailbox password now or your messages will be deleted today,phishing
alerts@bank-secure.com,Verify your account now,Confirm your invoice information and login to prevent a service interruption,phishing
alerts@bank-secure.com,Account suspended notice,Urgent action required to verify your password using the secure link below,phishing
alerts@bank-secure.com,Account suspended notice,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
alerts@bank-secure.com,Account suspended notice,We detected unusual activity and need you to confirm your identity immediately,phishing
alerts@bank-secure.com,Account suspended notice,Click the secure portal to avoid permanent account closure and restore service,phishing
alerts@bank-secure.com,Account suspended notice,You have won a prize and must verify card details now to receive it,phishing
alerts@bank-secure.com,Account suspended notice,Open the attached document and sign in to review the protected file,phishing
alerts@bank-secure.com,Account suspended notice,Your payroll record is pending and requires employee credentials for release,phishing
alerts@bank-secure.com,Account suspended notice,Update your banking profile now to remove the temporary suspension on your account,phishing
alerts@bank-secure.com,Account suspended notice,Validate your mailbox password now or your messages will be deleted today,phishing
alerts@bank-secure.com,Account suspended notice,Confirm your invoice information and login to prevent a service interruption,phishing
alerts@bank-secure.com,Security alert on your profile,Urgent action required to verify your password using the secure link below,phishing
alerts@bank-secure.com,Security alert on your profile,Your access will be suspended within 24 hours unless you confirm your login details now,phishing
alerts@bank-secure.com,Security alert on your profile,We detected unusual activity and need you to confirm your identity immediately,phishing
alerts@bank-secure.com,Security alert on your profile,Click the secure portal to avoid permanent account closure and restore service,phishing
alerts@bank-secure.com,Security alert on your profile,You have won a prize and must verify card details now to receive it,phishing
alerts@bank-secure.com,Security alert on your profile,Open the attached document and sign in to review the protected file,phishing
alerts@bank-secure.com,Security alert on your profile,Your payroll record is pending and requires employee credentials for release,phishing
alerts@bank-secure.com,Security alert on your profile,Update your banking profile now to remove the temporary suspension on your account,phishing
alerts@bank-secure.com,Security alert on your profile,Validate your mailbox password now or your messages will be deleted today,phishing
alerts@bank-secure.com,Security alert on your profile,Confirm your invoice information and login to prevent a service interruption,phishing
